StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ic,att_1,att_2,Present_Auto_10,Present_HandsOff_10,Present_Watch_10,Present_Nap_10,Faded_Auto_10,Faded_HandsOff_10,Faded_Watch_10,Faded_Nap_10,AI_Familiarity_1,Visual_Familiarity_1,license,gender,gender_4_TEXT,age,education,education_8_TEXT,income,workerID,hitID,assignmentId,Present_TimeVehicleStopped,Faded_TimeVehicleStopped
6/17/24 9:02,6/17/24 9:07,0,100,254,1,6/17/24 9:07,R_7m2gcOhIK7Dgcun,anonymous,EN,1,2,1,59,61,0,0,,,,,87,71,1,2,,23,4,,11,,,,17.52,
6/17/24 8:57,6/17/24 9:07,0,100,558,1,6/17/24 9:07,R_361vzIlsAZmd7tn,anonymous,EN,1,2,2,,,,,0,0,0,0,86,93,1,1,,63,4,,12,,,,1.42,
6/17/24 9:04,6/17/24 9:07,0,100,181,1,6/17/24 9:07,R_1aCrRnpilkupUKK,anonymous,EN,1,2,1,66,81,4,6,,,,,89,9,1,2,,23,2,,11,,,,18.32,
6/17/24 8:59,6/17/24 9:07,0,100,489,1,6/17/24 9:07,R_5AYDlVFg3lv1r4B,anonymous,EN,1,2,1,,,,,69,65,80,74,25,15,1,1,,63,4,,10,,,,19.31,
6/17/24 9:02,6/17/24 9:07,0,100,316,1,6/17/24 9:07,R_7O1Ug8UWB5vfElj,anonymous,EN,1,2,2,92,92,81,0,,,,,82,30,1,1,,63,7,,10,,,,,
6/17/24 9:04,6/17/24 9:07,0,100,184,1,6/17/24 9:07,R_6CLvN1fTJKYIuQx,anonymous,EN,1,2,2,,,,,55,37,39,10,61,18,2,2,,31,1,,13,,,,17.94,
6/17/24 9:04,6/17/24 9:07,0,100,172,1,6/17/24 9:07,R_5mt4DlrmQQ41sBK,anonymous,EN,1,2,1,24,19,0,0,,,,,66,62,1,2,,34,4,,14,,,,16.49,
6/17/24 9:05,6/17/24 9:07,0,100,168,1,6/17/24 9:07,R_6Vo75NHaB7QzBmx,anonymous,EN,1,2,2,39,55,32,16,,,,,73,57,1,2,,39,1,,14,,,,18.13,
6/17/24 8:53,6/17/24 9:07,0,100,845,1,6/17/24 9:07,R_6QflwrKyzc6i2uO,anonymous,EN,1,2,2,,,,,70,70,30,0,80,70,1,2,,35,4,,12,,,,18.34,
6/17/24 9:05,6/17/24 9:07,0,100,134,1,6/17/24 9:07,R_1odmLy9uGj116EX,anonymous,EN,1,2,2,,,,,0,26,24,0,76,71,1,1,,30,4,,15,,,,18.54,
6/17/24 9:04,6/17/24 9:07,0,100,201,1,6/17/24 9:07,R_1d3SjCWljiLbWZn,anonymous,EN,1,2,2,72,56,25,0,,,,,69,55,1,1,,71,3,,10,,,,,
6/17/24 9:05,6/17/24 9:07,0,100,133,1,6/17/24 9:07,R_5EHEYO0LkNGVatH,anonymous,EN,1,2,2,50,72,23,0,,,,,74,15,1,2,,58,5,,9,,,,17.77,
6/17/24 9:01,6/17/24 9:08,0,100,373,1,6/17/24 9:08,R_5P6eEdDgT1lmTQc,anonymous,EN,1,2,2,50,49,66,31,,,,,80,66,2,1,,27,3,,16,,,,10.31,
6/17/24 9:04,6/17/24 9:08,0,100,193,1,6/17/24 9:08,R_5vJLJQyqDSTNlhT,anonymous,EN,1,2,2,,,,,27,71,58,15,67,34,1,1,,33,4,,13,,,,,
6/17/24 9:02,6/17/24 9:08,0,100,338,1,6/17/24 9:08,R_7cAYN1pLcbrofzr,anonymous,EN,1,2,2,,,,,62,63,64,59,53,56,1,1,,61,4,,10,,,,18.92,
6/17/24 9:04,6/17/24 9:08,0,100,247,1,6/17/24 9:08,R_12IYtzoivdNErhs,anonymous,EN,1,2,2,50,44,53,39,,,,,28,24,1,2,,29,3,,14,,,,18.73,
6/17/24 9:05,6/17/24 9:08,0,100,132,1,6/17/24 9:08,R_5SIkK1t3uu8UgOR,anonymous,EN,1,2,2,50,35,35,10,,,,,60,35,1,1,,34,1,,16,,,,10.71,
6/17/24 9:04,6/17/24 9:08,0,100,209,1,6/17/24 9:08,R_7Cf022UxdZ7hOKe,anonymous,EN,1,2,2,60,0,0,0,,,,,64,62,1,2,,51,1,,13,,,,16.26,
6/17/24 9:05,6/17/24 9:08,0,100,204,1,6/17/24 9:08,R_50pkDnQxUAozYtP,anonymous,EN,1,2,2,,,,,6,0,0,0,82,1,2,2,,52,5,,11,,,,5.52,
6/17/24 9:05,6/17/24 9:08,0,100,168,1,6/17/24 9:08,R_60ftxNWcESQudwd,anonymous,EN,1,2,2,,,,,35,35,30,10,70,64,1,2,,44,3,,13,,,,8.15,
6/17/24 9:04,6/17/24 9:08,0,100,234,1,6/17/24 9:08,R_3O16z6bqwT8O6qi,anonymous,EN,1,2,2,40,70,30,0,,,,,61,23,1,2,,40,3,,13,,,,8.55,
6/17/24 9:05,6/17/24 9:08,0,100,206,1,6/17/24 9:08,R_7N3pHJHh27yBYaa,anonymous,EN,1,2,2,,,,,75,75,0,0,80,100,1,1,,39,3,,14,,,,17.82,
6/17/24 9:06,6/17/24 9:08,0,100,149,1,6/17/24 9:08,R_5dWzrMbxeDLWuxz,anonymous,EN,1,2,2,,,,,72,71,60,0,71,26,1,2,,32,5,,11,,,,17.48,
6/17/24 9:05,6/17/24 9:08,0,100,177,1,6/17/24 9:08,R_6v18vu7WXPpKUT6,anonymous,EN,1,2,2,72,64,71,33,,,,,77,16,1,2,,41,5,,10,,,,17.01,
6/17/24 9:06,6/17/24 9:09,0,100,185,1,6/17/24 9:09,R_7d5KOH5zEx0vuu7,anonymous,EN,1,2,2,,,,,50,0,0,0,0,0,1,2,,65,3,,13,,,,7,
6/17/24 9:06,6/17/24 9:09,0,100,163,1,6/17/24 9:09,R_30fuBQiTSwCpq6t,anonymous,EN,1,2,1,,,,,58,8,16,0,19,27,1,2,,45,1,,11,,,,18.08,
6/17/24 9:07,6/17/24 9:09,0,100,129,1,6/17/24 9:09,R_3WSRNM1Ql6tb0xs,anonymous,EN,1,2,2,16,54,13,2,,,,,55,56,1,2,,35,3,,12,,,,17.3,
6/17/24 9:02,6/17/24 9:09,0,100,378,1,6/17/24 9:09,R_5R8nprfnJsQowPK,anonymous,EN,1,1,2,66,60,74,25,,,,,73,67,1,2,,47,4,,11,,,,,
6/17/24 9:06,6/17/24 9:09,0,100,155,1,6/17/24 9:09,R_3XeIGVVQvcJKN8Z,anonymous,EN,1,2,1,79,92,92,6,,,,,82,84,1,2,,23,4,,12,,,,16.93,
6/17/24 9:06,6/17/24 9:09,0,100,178,1,6/17/24 9:09,R_7r0poklKzYoNsd2,anonymous,EN,1,2,2,58,30,61,0,,,,,100,82,1,2,,29,2,,10,,,,19.32,
6/17/24 9:00,6/17/24 9:09,0,100,565,1,6/17/24 9:09,R_6Q4PVMVkL9HLc4H,anonymous,EN,1,2,2,,,,,0,0,0,0,100,52,1,2,,49,2,,10,,,,10.93,
6/17/24 9:06,6/17/24 9:09,0,100,165,1,6/17/24 9:09,R_6l0OxsuGjaWADLB,anonymous,EN,1,2,2,64,71,71,34,,,,,78,50,2,2,,23,3,,14,,,,18.37,
6/17/24 9:07,6/17/24 9:09,0,100,139,1,6/17/24 9:09,R_62bma5keTU60SeR,anonymous,EN,1,2,2,,,,,81,76,39,32,71,20,1,1,,47,4,,14,,,,11.52,
6/17/24 9:06,6/17/24 9:09,0,100,209,1,6/17/24 9:09,R_3150JZef4klF8qi,anonymous,EN,1,2,1,,,,,0,70,1,0,8,2,1,2,,58,3,,9,,,,19.37,
6/17/24 9:06,6/17/24 9:09,0,100,186,1,6/17/24 9:09,R_76njcTkQkehM60y,anonymous,EN,1,2,2,,,,,24,30,35,10,29,1,1,2,,62,2,,9,,,,17.2,
6/17/24 9:07,6/17/24 9:10,0,100,122,1,6/17/24 9:10,R_5P3uerdsUDrvpT3,anonymous,EN,1,2,2,,,,,20,10,50,0,30,0,1,2,,28,4,,14,,,,18.24,
6/17/24 9:04,6/17/24 9:10,0,100,323,1,6/17/24 9:10,R_6gUqjvxCzignFBL,anonymous,EN,1,2,2,,,,,29,0,21,0,67,0,1,1,,53,4,,12,,,,18.41,
6/17/24 9:06,6/17/24 9:10,0,100,196,1,6/17/24 9:10,R_7zHlg6onpgue8yY,anonymous,EN,1,2,2,11,11,0,0,,,,,62,50,1,2,,45,5,,10,,,,16.14,
6/17/24 9:07,6/17/24 9:10,0,100,160,1,6/17/24 9:10,R_3Ra2rYKKixtluSE,anonymous,EN,1,2,2,75,60,10,10,,,,,80,20,1,2,,53,5,,9,,,,17.2,
6/17/24 9:08,6/17/24 9:10,0,100,126,1,6/17/24 9:10,R_572s5iJbnOExQWx,anonymous,EN,1,2,1,81,78,82,81,,,,,60,64,1,1,,45,4,,10,,,,19.32,
6/17/24 9:07,6/17/24 9:10,0,100,150,1,6/17/24 9:10,R_1iJVqEfWHYdgjno,anonymous,EN,1,2,2,,,,,78,64,60,56,89,75,1,1,,51,4,,10,,,,18.47,
6/17/24 9:03,6/17/24 9:10,0,100,416,1,6/17/24 9:10,R_6Vmb1WNBKkbzGtH,anonymous,EN,1,2,2,70,80,10,0,,,,,100,0,1,1,,45,4,,11,,,,16.67,
6/17/24 9:08,6/17/24 9:10,0,100,131,1,6/17/24 9:10,R_5Dr3LB9k0zGSP2W,anonymous,EN,1,2,2,,,,,86,84,11,1,88,26,1,2,,43,3,,13,,,,18.42,
6/17/24 9:08,6/17/24 9:10,0,100,112,1,6/17/24 9:10,R_6JKTLMPfxywZZhL,anonymous,EN,1,2,2,32,35,24,0,,,,,75,75,1,2,,42,4,,12,,,,17.49,
6/17/24 9:07,6/17/24 9:10,0,100,168,1,6/17/24 9:10,R_3abOFRuZoz38k39,anonymous,EN,1,2,2,,,,,61,23,11,11,69,49,1,1,,72,4,,9,,,,18.9,
6/17/24 9:08,6/17/24 9:10,0,100,104,1,6/17/24 9:10,R_5aWAs39YU5UW4Gp,anonymous,EN,1,2,2,73,71,73,71,,,,,80,78,2,2,,31,3,,14,,,,20.32,
6/17/24 9:08,6/17/24 9:10,0,100,103,1,6/17/24 9:10,R_1LutAgxGSGKyohW,anonymous,EN,1,2,2,,,,,100,100,100,100,100,100,1,1,,25,4,,10,,,,8.68,
6/17/24 9:07,6/17/24 9:10,0,100,217,1,6/17/24 9:10,R_65fQDtXeiCwI6gV,anonymous,EN,1,2,2,19,17,9,1,,,,,57,59,1,2,,50,4,,10,,,,16.7,
6/17/24 9:06,6/17/24 9:10,0,100,289,1,6/17/24 9:10,R_3JxtfxuqR1U98pb,anonymous,EN,1,2,2,60,61,76,75,,,,,5,22,1,1,,43,5,,10,,,,6.54,
6/17/24 9:05,6/17/24 9:10,0,100,333,1,6/17/24 9:10,R_5L0gvDYeRGNaPsZ,anonymous,EN,1,2,2,,,,,0,0,0,0,0,0,1,2,,44,1,,13,,,,19.32,
6/17/24 9:08,6/17/24 9:11,0,100,162,1,6/17/24 9:11,R_7ty4xOejnuqAxmG,anonymous,EN,1,2,2,,,,,80,80,80,80,90,7,1,2,,51,4,,12,,,,18.38,
6/17/24 9:08,6/17/24 9:11,0,100,156,1,6/17/24 9:11,R_5qpHMqYZdWG6gql,anonymous,EN,1,2,2,,,,,40,4,36,16,46,0,1,1,,23,3,,13,,,,7.07,
6/17/24 9:07,6/17/24 9:11,0,100,207,1,6/17/24 9:11,R_3wEypvsfveY9CXE,anonymous,EN,1,2,2,,,,,0,35,0,0,61,44,1,2,,52,3,,13,,,,12.09,
6/17/24 9:08,6/17/24 9:11,0,100,156,1,6/17/24 9:11,R_6eQNOxfaXq1DeUs,anonymous,EN,1,2,2,72,44,55,26,,,,,39,38,1,1,,42,4,,11,,,,19.32,
6/17/24 9:07,6/17/24 9:11,0,100,212,1,6/17/24 9:11,R_1arFeCt5SZXn1QL,anonymous,EN,1,2,2,8,48,0,0,,,,,44,8,1,2,,49,3,,10,,,,10.33,
6/17/24 9:07,6/17/24 9:11,0,100,202,1,6/17/24 9:11,R_5onySaWhxOlg3t3,anonymous,EN,1,2,1,28,28,18,5,,,,,38,1,1,2,,53,4,,11,,,,5.4,
6/17/24 9:07,6/17/24 9:11,0,100,246,1,6/17/24 9:11,R_7zpw7O4TshDyn1Y,anonymous,EN,1,2,2,100,70,76,76,,,,,50,72,1,1,,51,4,,9,,,,2.76,
6/17/24 9:10,6/17/24 9:11,0,100,66,1,6/17/24 9:11,R_1a9RnjmYPTldIam,anonymous,EN,1,2,2,40,69,62,72,,,,,61,25,1,2,,23,4,,10,,,,0.97,
6/17/24 9:09,6/17/24 9:11,0,100,117,1,6/17/24 9:11,R_2ucH5XCLLPPlTu9,anonymous,EN,1,2,2,,,,,21,19,88,74,76,81,1,1,,48,4,,10,,,,19.32,
6/17/24 9:07,6/17/24 9:11,0,100,277,1,6/17/24 9:11,R_6i54QRvVON5ppfo,anonymous,EN,1,2,2,,,,,50,50,0,0,70,50,1,2,,58,3,,14,,,,17.5,
6/17/24 9:10,6/17/24 9:11,0,100,86,1,6/17/24 9:11,R_5oefaW1vhdndMQe,anonymous,EN,1,2,2,,,,,0,0,0,0,100,100,1,1,,39,1,,12,,,,3.41,
6/17/24 9:09,6/17/24 9:11,0,100,171,1,6/17/24 9:11,R_5rZEQBXuX0TCrJr,anonymous,EN,1,2,2,70,25,20,14,,,,,85,8,1,4,non-binary,30,3,,14,,,,18.62,
6/17/24 9:06,6/17/24 9:11,0,100,302,1,6/17/24 9:11,R_6hA4TdbNFNSuenM,anonymous,EN,1,2,2,,,,,66,65,74,56,46,51,1,1,,35,4,,11,,,,18.87,
6/17/24 9:10,6/17/24 9:11,0,100,111,1,6/17/24 9:11,R_5Fgmc3hIngYpd5X,anonymous,EN,1,2,2,0,50,10,0,,,,,100,100,1,1,,30,3,,12,,,,17.71,
6/17/24 9:08,6/17/24 9:12,0,100,186,1,6/17/24 9:12,R_6LC23ZTBj1XmULL,anonymous,EN,1,2,2,,,,,12,69,0,2,68,50,1,2,,38,4,,10,,,,17.62,
6/17/24 9:10,6/17/24 9:12,0,100,108,1,6/17/24 9:12,R_1m1srD3w8r4PWCX,anonymous,EN,1,2,2,,,,,50,29,0,0,63,54,1,2,,24,4,,14,,,,17.18,
6/17/24 9:10,6/17/24 9:12,0,100,83,1,6/17/24 9:12,R_7rJFBI62ShNXS4d,anonymous,EN,1,2,2,60,0,30,0,,,,,70,80,1,1,,35,1,,12,,,,17.17,
6/17/24 9:10,6/17/24 9:12,0,100,118,1,6/17/24 9:12,R_5qfLjlgzRIKSSbo,anonymous,EN,1,2,2,,,,,90,90,60,0,29,5,1,1,,32,4,,13,,,,18.35,
6/17/24 9:09,6/17/24 9:12,0,100,167,1,6/17/24 9:12,R_7N82vTgXhnjI7qQ,anonymous,EN,1,2,2,50,45,70,75,,,,,60,40,1,1,,38,1,,10,,,,8.98,
6/17/24 9:09,6/17/24 9:12,0,100,146,1,6/17/24 9:12,R_6CBgBulI4hjsXFF,anonymous,EN,1,2,2,,,,,0,0,0,0,84,76,1,1,,37,3,,13,,,,0.37,
6/17/24 9:07,6/17/24 9:12,0,100,292,1,6/17/24 9:12,R_6LnT6IFOqATVEIy,anonymous,EN,1,2,2,60,65,15,20,,,,,55,29,1,1,,40,4,,10,,,,19.32,
6/17/24 9:07,6/17/24 9:12,0,100,302,1,6/17/24 9:12,R_7pxJnXjBKbeXHaF,anonymous,EN,1,2,2,,,,,60,50,25,20,70,5,1,2,,81,5,,11,,,,14.59,
6/17/24 9:00,6/17/24 9:12,0,100,725,1,6/17/24 9:12,R_3fjDloeQFtkFSwk,anonymous,EN,1,2,2,,,,,0,22,13,0,59,27,1,1,,41,4,,12,,,,8.44,
6/17/24 9:10,6/17/24 9:12,0,100,133,1,6/17/24 9:12,R_5rjulFC32quebhn,anonymous,EN,1,2,2,90,85,0,0,,,,,85,0,1,2,,33,5,,11,,,,9.76,
6/17/24 9:08,6/17/24 9:12,0,100,237,1,6/17/24 9:12,R_61afyIr5QbZuABg,anonymous,EN,1,2,2,62,74,27,0,,,,,30,30,1,2,,30,5,,13,,,,19.32,
6/17/24 9:10,6/17/24 9:12,0,100,101,1,6/17/24 9:12,R_5L4N8DeSNMrljfL,anonymous,EN,1,2,2,80,88,82,83,,,,,89,22,1,1,,29,5,,11,,,,1.82,
6/17/24 9:08,6/17/24 9:12,0,100,241,1,6/17/24 9:12,R_6PhO4NFwog6nWYj,anonymous,EN,1,2,2,,,,,60,30,0,0,70,0,1,2,,63,3,,10,,,,7.67,
6/17/24 9:06,6/17/24 9:12,0,100,378,1,6/17/24 9:12,R_6q3eyQ9CKKRFC9x,anonymous,EN,1,2,2,77,74,60,54,,,,,71,61,1,1,,28,6,,9,,,,18.19,
6/17/24 9:10,6/17/24 9:12,0,100,141,1,6/17/24 9:12,R_1oSbtgDmDAPm9qc,anonymous,EN,1,2,2,,,,,65,25,30,0,90,71,1,1,,31,5,,10,,,,17.46,
6/17/24 9:09,6/17/24 9:12,0,100,197,1,6/17/24 9:12,R_7XjrNXqciXWAh4S,anonymous,EN,1,2,2,33,55,18,0,,,,,84,80,1,1,,57,4,,12,,,,17.28,
6/17/24 9:08,6/17/24 9:12,0,100,220,1,6/17/24 9:12,R_3TZS1uHignidd4n,anonymous,EN,1,2,2,,,,,61,66,68,40,63,6,1,1,,27,3,,11,,,,17.28,
6/17/24 9:09,6/17/24 9:12,0,100,186,1,6/17/24 9:12,R_6mDohxxUtFhayWt,anonymous,EN,1,2,2,0,0,0,0,,,,,74,0,1,1,,48,3,,14,,,,16.34,
6/17/24 9:08,6/17/24 9:12,0,100,228,1,6/17/24 9:12,R_5MKaQJwLYsjZaVD,anonymous,EN,1,2,2,0,0,0,0,,,,,100,100,1,2,,39,3,,12,,,,5.11,
6/17/24 9:10,6/17/24 9:12,0,100,112,1,6/17/24 9:12,R_369Z60PSmqKdEOt,anonymous,EN,1,2,2,,,,,92,90,70,0,79,52,2,1,,21,3,,10,,,,19.07,
6/17/24 9:10,6/17/24 9:12,0,100,143,1,6/17/24 9:12,R_68DDWjwX5qAhqc9,anonymous,EN,1,2,2,,,,,50,50,100,0,66,27,1,1,,67,5,,10,,,,9.88,
6/17/24 9:00,6/17/24 9:12,0,100,732,1,6/17/24 9:12,R_1nvj9mAUU74S6hs,anonymous,EN,1,2,2,60,59,64,66,,,,,51,66,1,2,,57,7,,11,,,,1.77,
6/17/24 9:07,6/17/24 9:13,0,100,354,1,6/17/24 9:13,R_6P0fpsBGN6B86xX,anonymous,EN,1,2,2,,,,,53,52,84,44,75,64,1,2,,48,4,,11,,,,18.05,
6/17/24 9:11,6/17/24 9:13,0,100,147,1,6/17/24 9:13,R_47lKalGuAxXCSpU,anonymous,EN,1,2,2,,,,,0,0,0,0,70,70,1,2,,46,7,,12,,,,17.68,
6/17/24 9:11,6/17/24 9:13,0,100,102,1,6/17/24 9:13,R_3kjncVrs0yVnAZA,anonymous,EN,1,2,2,74,78,32,9,,,,,86,36,1,2,,24,4,,8,,,,17.32,
6/17/24 9:10,6/17/24 9:13,0,100,209,1,6/17/24 9:13,R_5kiU2rIYt2zasIX,anonymous,EN,1,2,2,,,,,55,10,40,10,70,0,1,2,,51,5,,11,,,,17.26,
6/17/24 9:11,6/17/24 9:13,0,100,154,1,6/17/24 9:13,R_6alSGYFI7tqDPcx,anonymous,EN,1,2,2,,,,,68,19,76,0,9,18,1,2,,26,3,,16,,,,18.05,
6/17/24 9:11,6/17/24 9:13,0,100,106,1,6/17/24 9:13,R_745VkaxZ4mmxCF9,anonymous,EN,1,2,2,,,,,15,17,8,0,72,17,1,1,,40,1,,15,,,,,
6/17/24 9:05,6/17/24 9:13,0,100,483,1,6/17/24 9:13,R_6JbdGUrOkp3Y9tT,anonymous,EN,1,2,2,,,,,70,55,0,0,71,61,2,2,,27,3,,14,,,,18.22,
6/17/24 9:11,6/17/24 9:13,0,100,114,1,6/17/24 9:13,R_1NKEA1UpOWQ06Pv,anonymous,EN,1,2,2,100,100,100,100,,,,,95,81,1,2,,26,4,,10,,,,19.32,
6/17/24 9:11,6/17/24 9:13,0,100,134,1,6/17/24 9:13,R_1f2czgiWE8fHWtb,anonymous,EN,1,2,2,,,,,37,34,23,0,30,21,1,1,,31,7,,13,,,,2.18,
6/17/24 9:11,6/17/24 9:13,0,100,173,1,6/17/24 9:13,R_7NqzeIHZwvamzyd,anonymous,EN,1,2,2,62,39,38,9,,,,,60,10,1,2,,53,5,,11,,,,17.99,
6/17/24 9:10,6/17/24 9:13,0,100,191,1,6/17/24 9:13,R_5zGy0JhuYf5L5IB,anonymous,EN,1,2,2,65,30,60,40,,,,,75,65,1,2,,34,3,,13,,,,17.84,
6/17/24 9:10,6/17/24 9:14,0,100,215,1,6/17/24 9:14,R_3mdjKyEAFVeb4EF,anonymous,EN,1,2,2,,,,,29,78,37,73,16,15,1,1,,30,3,,12,,,,,
6/17/24 9:11,6/17/24 9:14,0,100,164,1,6/17/24 9:14,R_7FyAqdxarM3XHeR,anonymous,EN,1,2,2,,,,,60,50,28,47,30,41,2,2,,25,4,,12,,,,19.32,
6/17/24 9:09,6/17/24 9:14,0,100,250,1,6/17/24 9:14,R_1qEsr2lku47REmR,anonymous,EN,1,2,1,80,81,19,0,,,,,50,10,1,1,,65,2,,11,,,,,
6/17/24 9:10,6/17/24 9:14,0,100,217,1,6/17/24 9:14,R_5Ne16hjDm9TsUCQ,anonymous,EN,1,2,2,,,,,20,20,10,0,80,60,1,1,,36,3,,14,,,,16.14,
6/17/24 9:05,6/17/24 9:14,0,100,511,1,6/17/24 9:14,R_2RwK6E29KsIil8D,anonymous,EN,1,2,1,91,85,81,91,,,,,77,68,1,1,,37,5,,10,,,,18.49,
6/17/24 9:13,6/17/24 9:14,0,100,81,1,6/17/24 9:14,R_5GqAqc9mGj4SREg,anonymous,EN,1,2,2,,,,,75,65,65,25,75,65,2,1,,34,3,,14,,,,18.63,
6/17/24 9:10,6/17/24 9:14,0,100,253,1,6/17/24 9:14,R_7MtiuyNqMJtBHQp,anonymous,EN,1,2,2,40,40,14,0,,,,,71,51,1,2,,64,2,,12,,,,18.51,
6/17/24 9:10,6/17/24 9:14,0,100,217,1,6/17/24 9:14,R_1MDWJrID9DobsHE,anonymous,EN,1,2,2,,,,,19,39,0,0,71,70,1,1,,63,4,,10,,,,9.72,
6/17/24 9:11,6/17/24 9:14,0,100,211,1,6/17/24 9:14,R_1xa8QLGPdxnRfc5,anonymous,EN,1,2,2,81,69,9,4,,,,,77,86,1,1,,64,3,,12,,,,17.7,
6/17/24 9:11,6/17/24 9:14,0,100,186,1,6/17/24 9:14,R_3I6EAznLyy7BpSh,anonymous,EN,1,2,2,19,20,22,19,,,,,73,51,1,2,,50,3,,13,,,,16.64,
6/17/24 9:13,6/17/24 9:14,0,100,82,1,6/17/24 9:14,R_7KMZpY34imqb55r,anonymous,EN,1,2,2,27,21,17,21,,,,,27,24,1,2,,27,3,,11,,,,8.43,
6/17/24 9:12,6/17/24 9:15,0,100,125,1,6/17/24 9:15,R_6BVL03X2btIEtBx,anonymous,EN,1,2,2,,,,,90,81,82,20,7,8,1,1,,27,4,,12,,,,18.35,
6/17/24 9:10,6/17/24 9:15,0,100,282,1,6/17/24 9:15,R_5AMpEvxZTUOzL2h,anonymous,EN,1,2,2,,,,,9,36,9,0,20,20,1,2,,35,4,,11,,,,8.83,
6/17/24 9:09,6/17/24 9:15,0,100,355,1,6/17/24 9:15,R_74Cm1cEw1cwE3x7,anonymous,EN,1,2,1,,,,,40,60,60,20,71,49,1,1,,39,5,,10,,,,11.05,
6/17/24 9:11,6/17/24 9:15,0,100,208,1,6/17/24 9:15,R_3Pb5hja3Lmny9NE,anonymous,EN,1,2,2,,,,,50,55,82,45,64,52,1,1,,42,5,,10,,,,18.54,
6/17/24 9:04,6/17/24 9:15,0,100,659,1,6/17/24 9:15,R_5dB8VmzsPO6tEx0,anonymous,EN,1,2,2,81,80,70,62,,,,,82,83,1,2,,34,5,,12,,,,17.73,
6/17/24 9:12,6/17/24 9:15,0,100,208,1,6/17/24 9:15,R_5VKaVlVYLg9EWLT,anonymous,EN,1,2,2,,,,,23,23,9,0,69,7,1,1,,49,4,,11,,,,17.38,
6/17/24 9:10,6/17/24 9:15,0,100,317,1,6/17/24 9:15,R_3fF0NVfjzNK03ap,anonymous,EN,1,2,2,,,,,20,0,15,0,80,50,1,2,,32,3,,14,,,,7.39,
6/17/24 9:12,6/17/24 9:15,0,100,207,1,6/17/24 9:15,R_3SJECZUfelInyUU,anonymous,EN,1,2,2,,,,,72,68,66,73,20,92,1,1,,27,5,,9,,,,18.39,
6/17/24 9:12,6/17/24 9:15,0,100,200,1,6/17/24 9:15,R_1VftD5W6sPBhjAB,anonymous,EN,1,2,2,61,74,70,57,,,,,73,38,1,2,,68,4,,9,,,,18.05,
6/17/24 9:14,6/17/24 9:15,0,100,89,1,6/17/24 9:15,R_3bZrFuBmx4ZeCOt,anonymous,EN,1,2,2,,,,,39,46,61,17,59,50,1,2,,22,4,,10,,,,3.31,
6/17/24 9:12,6/17/24 9:15,0,100,196,1,6/17/24 9:15,R_6suic3pdpF52mfn,anonymous,EN,1,2,2,,,,,40,33,7,5,29,5,1,1,,37,1,,15,,,,9.27,
6/17/24 9:13,6/17/24 9:15,0,100,141,1,6/17/24 9:15,R_7Gy5SsxV4vWV8uS,anonymous,EN,1,2,2,,,,,0,0,0,0,52,0,1,2,,33,4,,13,,,,10.24,
6/17/24 9:11,6/17/24 9:15,0,100,278,1,6/17/24 9:15,R_6rIaqzJDgrVkl69,anonymous,EN,1,2,2,30,30,5,0,,,,,70,55,1,2,,36,4,,13,,,,18.21,
6/17/24 9:12,6/17/24 9:16,0,100,189,1,6/17/24 9:16,R_67mtvmfMTy6kw4V,anonymous,EN,1,2,2,21,0,0,0,,,,,59,0,1,2,,36,5,,13,,,,18.7,
6/17/24 9:13,6/17/24 9:16,0,100,134,1,6/17/24 9:16,R_5dI655RufgWGld7,anonymous,EN,1,2,2,61,64,26,17,,,,,70,76,1,1,,20,1,,13,,,,18.45,
6/17/24 9:12,6/17/24 9:16,0,100,240,1,6/17/24 9:16,R_72QnEFkgqGNzRWI,anonymous,EN,1,2,2,,,,,12,13,0,0,51,0,1,2,,58,3,,11,,,,8.3,
6/17/24 9:14,6/17/24 9:16,0,100,88,1,6/17/24 9:16,R_1zTJNAMcJ9ejKYg,anonymous,EN,1,2,2,,,,,5,1,1,0,80,60,1,2,,23,4,,12,,,,9.63,
6/17/24 9:12,6/17/24 9:16,0,100,225,1,6/17/24 9:16,R_78l3TYM75DDF0LD,anonymous,EN,1,2,2,74,90,36,27,,,,,71,75,1,1,,26,4,,10,,,,18.06,
6/17/24 9:05,6/17/24 9:16,0,100,664,1,6/17/24 9:16,R_3Q5wk1Fk18KpwCf,anonymous,EN,1,2,2,,,,,51,0,0,0,82,81,1,2,,50,5,,12,,,,,
6/17/24 9:14,6/17/24 9:16,0,100,134,1,6/17/24 9:16,R_14tGVoxCwSDQ7se,anonymous,EN,1,2,2,80,70,55,0,,,,,70,50,1,2,,31,5,,12,,,,17.42,
6/17/24 9:13,6/17/24 9:16,0,100,147,1,6/17/24 9:16,R_1M70fV87jcPSgrp,anonymous,EN,1,2,2,0,10,0,0,,,,,53,49,1,2,,32,4,,11,,,,17.36,
6/17/24 9:10,6/17/24 9:16,0,100,325,1,6/17/24 9:16,R_1IZaM5JTJzIbe2l,anonymous,EN,1,2,2,100,100,72,50,,,,,89,92,1,1,,52,5,,10,,,,17.98,
6/17/24 9:12,6/17/24 9:16,0,100,211,1,6/17/24 9:16,R_7dEIMACpkatoAGv,anonymous,EN,1,2,2,,,,,45,39,45,46,0,0,1,1,,37,4,,16,,,,12.53,
